Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,153263.0,153214.0,153376.0,153543.0,153479.0,153346.0,153288.0,153760.0,154131.0,153961.0,154128.0,153995.0
2012,154381.0,154671.0,154749.0,154545.0,154866.0,155083.0,154948.0,154763.0,155160.0,155554.0,155338.0,155628.0
2013,155763.0,155312.0,155005.0,155394.0,155536.0,155749.0,155599.0,155605.0,155687.0,154673.0,155265.0,155182.0
2014,155352.0,155483.0,156028.0,155369.0,155684.0,155707.0,156007.0,156130.0,156040.0,156417.0,156494.0,156332.0
2015,157030.0,156644.0,156643.0,157060.0,157651.0,157062.0,156997.0,157172.0,156733.0,157167.0,157463.0,158035.0
2016,158280.0,158640.0,159179.0,159141.0,158784.0,158967.0,159194.0,159562.0,159714.0,159605.0,159506.0,159678.0
2017,159616.0,159789.0,160169.0,160470.0,160036.0,160217.0,160437.0,160670.0,161107.0,160252.0,160507.0,160543.0
2018,160992.0,161764.0,161765.0,161914.0,161897.0,162200.0,162316.0,161735.0,161985.0,162471.0,162713.0,163124.0
2019,163067.0,163032.0,163010.0,162737.0,162848.0,163046.0,163586.0,163861.0,163958.0,164278.0,164447.0,164579.0
2020,164455.0,164448.0,162721.0,156478.0,158200.0,159797.0,160085.0,160818.0,160078.0,160718.0,160536.0,160567.0
2021,160161.0,160211.0,160558.0,160988.0,160935.0,161086.0,161347.0,161537.0,161354.0,161458.0,,
